id,split,filename,height,weight,gender,age
3841,train,img_3841.jpg,155.44799999999998,62.0,1,39
2919,train,img_2919.jpg,182.88,78.0,0,40
3081,train,img_3081.jpg,176.784,65.0,1,47
9290,train,img_9290.jpg,170.688,53.0,1,40
9151,train,img_9151.jpg,167.64000000000001,52.0,1,39
7063,train,img_7063.jpg,173.73600000000002,55.0,1,46
6429,train,img_6429.jpg,192.024,100.0,0,45
508,train,img_508.jpg,216.408,120.0,0,38
4012,train,img_4012.jpg,170.688,57.0,1,46
4122,train,img_4122.jpg,179.83200000000002,70.0,0,30
390,train,img_390.jpg,182.88,93.0,0,37
3083,train,img_3083.jpg,176.784,46.0,1,35
782,train,img_782.jpg,155.44799999999998,83.0,0,50
817,train,img_817.jpg,155.44799999999998,57.0,1,45
7930,train,img_7930.jpg,195.072,88.0,0,36
8480,train,img_8480.jpg,155.44799999999998,84.0,0,59
2734,train,img_2734.jpg,155.44799999999998,40.0,1,38
8068,train,img_8068.jpg,188.976,85.0,0,50
2410,train,img_2410.jpg,213.36,127.0,0,30
2656,train,img_2656.jpg,182.88,75.0,0,31
1934,train,img_1934.jpg,155.44799999999998,51.0,1,32
5542,train,img_5542.jpg,164.592,68.0,1,50
3816,train,img_3816.jpg,155.7528,76.0,0,47
1879,train,img_1879.jpg,155.7528,77.0,0,32
6486,train,img_6486.jpg,170.688,60.0,1,48
5792,train,img_5792.jpg,173.73600000000002,60.0,1,42
7583,train,img_7583.jpg,179.83200000000002,73.0,0,43
6251,train,img_6251.jpg,176.784,57.0,1,43
3553,train,img_3553.jpg,161.54399999999998,50.0,1,45
5154,train,img_5154.jpg,167.64000000000001,50.0,1,33
1093,train,img_1093.jpg,173.73600000000002,63.0,1,60
9404,train,img_9404.jpg,179.83200000000002,77.0,0,51
6910,train,img_6910.jpg,179.83200000000002,49.0,1,40
1799,train,img_1799.jpg,170.688,100.0,0,53
2212,train,img_2212.jpg,167.64000000000001,51.0,1,48
5537,train,img_5537.jpg,176.784,55.0,1,57
8015,train,img_8015.jpg,182.88,88.0,0,41
1800,train,img_1800.jpg,188.976,88.0,0,30
6268,train,img_6268.jpg,179.83200000000002,52.0,1,53
408,train,img_408.jpg,164.592,55.0,1,72
911,train,img_911.jpg,155.44799999999998,86.0,0,54
8833,train,img_8833.jpg,164.592,50.0,1,49
6055,train,img_6055.jpg,155.7528,76.0,0,59
7560,train,img_7560.jpg,182.88,82.0,0,59
9391,train,img_9391.jpg,170.688,70.0,0,48
4101,train,img_4101.jpg,179.83200000000002,70.0,0,60
7409,train,img_7409.jpg,167.64000000000001,52.0,1,39
9371,train,img_9371.jpg,173.73600000000002,55.0,1,36
7448,train,img_7448.jpg,170.688,54.0,1,38
472,train,img_472.jpg,161.54399999999998,54.0,1,43
5428,train,img_5428.jpg,173.73600000000002,57.0,1,36
3614,train,img_3614.jpg,155.7528,58.0,1,48
2806,train,img_2806.jpg,173.73600000000002,65.0,0,47
7961,train,img_7961.jpg,155.7528,84.0,0,42
7703,train,img_7703.jpg,155.44799999999998,49.0,1,28
7379,train,img_7379.jpg,170.688,67.0,1,50
4107,train,img_4107.jpg,195.072,85.0,0,38
2533,train,img_2533.jpg,192.024,98.0,0,60
9115,train,img_9115.jpg,155.7528,54.0,1,38
1640,train,img_1640.jpg,188.976,79.0,0,35
